land,xing,linkedIn,indeed
Somalia,,,
Grönland,,,
Aruba,,,
Fidschi,,,
Kaimaninseln,,,
Brunei Darussalam,,,
Irak,,,
Liechtenstein,,,
Ghana,,,
Sudan,,100,
Kasachstan,100,,
Tansania,,,
Paraguay,,,
Nigeria,,,
Iran,100,,
Trinidad und Tobago,,,
China,95,4,1
Sri Lanka,,,
Kenia,,,
Bahrain,,,
Tunesien,,,
Malta,,,
Türkei,91,6,3
Panama,,,
Pakistan,40,20,40
Costa Rica,,,
Indien,66,15,19
Hongkong,11,65,24
Puerto Rico,,100,
El Salvador,,,
Algerien,100,,
Rumänien,67,33,
Slowakei,67,33,
Ukraine,,,
Vereinigte Arabische Emirate,,,
Lettland,,100,
Bulgarien,100,,
Indonesien,75,25,
Luxemburg,,,
Uruguay,,,
Kuwait,,,
Slowenien,,,
Dominikanische Republik,,,
Deutschland,79,17,4
Ungarn,29,47,24
Norwegen,,,
Estland,,,
Finnland,15,78,7
Saudi-Arabien,63,37,
Serbien,,,
Griechenland,67,33,
Malaysia,56,44,
Ecuador,,,
Thailand,26,74,
Österreich,61,16,23
Russland,72,28,
Tschechien,,,
Ägypten,50,,50
Vereinigte Staaten,14,70,16
Zypern,,100,
Israel,26,54,20
Frankreich,23,65,12
Kanada,16,68,16
Niederlande,51,43,6
Australien,22,65,13
Kolumbien,40,60,
Litauen,,100,
Vereinigtes Königreich,21,62,17
Kroatien,50,50,
Chile,15,70,15
Neuseeland,22,56,22
Belgien,33,54,13
Argentinien,29,59,12
Peru,50,50,
Dänemark,,80,20
Singapur,38,37,25
Südafrika,,,
Polen,43,46,11
Taiwan,33,54,13
Portugal,,,
Venezuela,,,
Schweiz,50,39,11
Spanien,34,55,11
Schweden,35,25,40
Italien,50,46,4
Brasilien,27,61,12
Philippinen,100,,
Mexiko,40,50,10
Südkorea,100,,
Japan,42,42,16
Uganda,,,
Guam,,,
Jordanien,,,
Syrien,,,
Oman,,,
Libanon,,,
Palästina,,,
Afghanistan,,,
Angola,,,
Anguilla,,,
Ålandinseln,,,
Albanien,,,
Andorra,,,
Armenien,,,
Amerikanisch-Samoa,,,
Antarktis,,,
Französische Süd- und Antarktisgebiete,,,
Antigua und Barbuda,,,
Aserbaidschan,,,
Burundi,,,
Benin,,,
"Bonaire, Sint Eustatius und Saba",,,
Burkina Faso,,,
Bangladesch,,,
Bahamas,,,
Bosnien und Herzegowina,,,
St. Barthélemy,,,
Belarus,,,
Belize,,,
Bermuda,,,
Bolivien,,,
Barbados,,,
Bhutan,,,
Bouvetinsel,,,
Botsuana,,,
Zentralafrikanische Republik,,,
Kokosinseln,,,
Côte d’Ivoire,,,
Kamerun,,,
Kongo-Kinshasa,,,
Kongo-Brazzaville,,,
Cookinseln,,,
Komoren,,,
Cabo Verde,,,
Kuba,,,
Curaçao,,,
Weihnachtsinsel,,,
Dschibuti,,,
Dominica,,,
Eritrea,,,
Westsahara,,,
Äthiopien,,,
Falklandinseln (Malwinen),,,
Färöer,,,
Mikronesien,,,
Gabun,,,
Georgien,,,
Guernsey,,,
Gibraltar,,,
Guinea,,,
Guadeloupe,,,
Gambia,,,
Guinea-Bissau,,,
Äquatorialguinea,,,
Grenada,,,
Guatemala,,,
Französisch-Guayana,,,
Guyana,,,
Heard und McDonaldinseln,,,
Honduras,,,
Haiti,,,
Isle of Man,,,
Britisches Territorium im Indischen Ozean,,,
Irland,,,
Island,,,
Jamaika,,,
Jersey,,,
Kirgisistan,,,
Kambodscha,,,
Kiribati,,,
St. Kitts und Nevis,,,
Laos,,,
Liberia,,,
Libyen,,,
St. Lucia,,,
Lesotho,,,
Macau,,,
St. Martin,,,
Marokko,,,
Monaco,,,
Republik Moldau,,,
Madagaskar,,,
Malediven,,,
Marshallinseln,,,
Nordmazedonien,,,
Mali,,,
Myanmar,,,
Montenegro,,,
Mongolei,,,
Nördliche Marianen,,,
Mosambik,,,
Mauretanien,,,
Montserrat,,,
Martinique,,,
Mauritius,,,
Malawi,,,
Mayotte,,,
Namibia,,,
Neukaledonien,,,
Niger,,,
Norfolkinsel,,,
Nicaragua,,,
Niue,,,
Nepal,,,
Nauru,,,
Pitcairninseln,,,
Palau,,,
Papua-Neuguinea,,,
Nordkorea,,,
Französisch-Polynesien,,,
Katar,,,
Réunion,,,
Ruanda,,,
Senegal,,,
Südgeorgien und die Südlichen Sandwichinseln,,,
St. Helena,,,
Spitzbergen und Jan Mayen,,,
Salomonen,,,
Sierra Leone,,,
San Marino,,,
St. Pierre und Miquelon,,,
Südsudan,,,
São Tomé und Príncipe,,,
Suriname,,,
Eswatini,,,
Sint Maarten,,,
Seychellen,,,
Turks- und Caicosinseln,,,
Tschad,,,
Togo,,,
Tadschikistan,,,
Tokelau,,,
Turkmenistan,,,
Timor-Leste,,,
Tonga,,,
Tuvalu,,,
Amerikanische Überseeinseln,,,
Usbekistan,,,
Vatikanstadt,,,
St. Vincent und die Grenadinen,,,
Britische Jungferninseln,,,
Amerikanische Jungferninseln,,,
Vietnam,,,
Vanuatu,,,
Wallis und Futuna,,,
Samoa,,,
Kosovo,,,
Jemen,,,
Sambia,,,
Simbabwe,,,
