land,indeed,linkedIn,xing
St. Helena,,,
Papua-Neuguinea,,,
Luxemburg,,,
Kanada,59,41,1
Singapur,,,
Irland,46,54,1
Vereinigtes Königreich,56,44,1
Vereinigte Arabische Emirate,,,
Monaco,,,
Gibraltar,,,
Niederlande,35,65,1
Vereinigte Staaten,59,41,1
Bermuda,,,
Kaimaninseln,,,
Madagaskar,,,
China,,,
Australien,29,71,1
Guernsey,,,
Jersey,,,
Mauritius,,,
Amerikanische Jungferninseln,,,
Schweiz,20,72,8
Frankreich,48,52,1
Senegal,,,
Isle of Man,,,
Malta,,,
Hongkong,,,
Botsuana,,,
Dänemark,,,
Guam,,,
Portugal,18,82,1
Liechtenstein,,,
Südafrika,,,
Katar,,,
Belgien,34,66,1
Tunesien,,,
Neuseeland,,,
Finnland,,,
Italien,31,69,1
Simbabwe,,,
Andorra,,,
Spanien,21,79,1
Zypern,,,
Nordmazedonien,,,
Schweden,23,77,1
Bahrain,,,
Marokko,,,
Puerto Rico,,,
Curaçao,,,
Turks- und Caicosinseln,,,
Pakistan,,,
Serbien,,,
Kongo-Brazzaville,,,
Peru,,,
Kenia,,,
Mexiko,67,33,1
Albanien,,,
Libanon,,,
Vanuatu,,,
"Bonaire, Sint Eustatius und Saba",,,
Fidschi,,,
Barbados,,,
Côte d’Ivoire,,,
Seychellen,,,
Malawi,,,
Ruanda,,,
Angola,,,
Britische Jungferninseln,,,
Oman,,,
San Marino,,,
Äquatorialguinea,,,
Malediven,,,
Chile,,,
Kroatien,,,
Israel,,,
Neukaledonien,,,
Griechenland,,,
Antigua und Barbuda,,,
Salomonen,,,
Bangladesch,,,
Eswatini,,,
Jordanien,,,
Namibia,,,
Dschibuti,,,
Togo,,,
Trinidad und Tobago,,,
Sri Lanka,,,
Slowenien,,,
St. Lucia,,,
Indien,21,79,1
Brasilien,,,
Philippinen,,,
Norwegen,,,
Panama,,,
Gambia,,,
Sambia,,,
Uruguay,,,
Deutschland,38,27,35
Kamerun,,,
Litauen,,,
Tschechien,,,
Türkei,16,84,1
Nigeria,,,
Kuba,,,
Benin,,,
Afghanistan,,,
Malaysia,34,66,1
Rumänien,,,
Mosambik,,,
Anguilla,,,
Argentinien,,,
Costa Rica,,,
Polen,22,78,1
Aruba,,,
Zentralafrikanische Republik,,,
Mauretanien,,,
Uganda,,,
Bahamas,,,
Suriname,,,
Mayotte,,,
Südsudan,,,
Äthiopien,,,
Ålandinseln,,,
Ghana,,,
Bulgarien,,,
Estland,,,
Lesotho,,,
Armenien,,,
Montenegro,,,
Martinique,,,
Aserbaidschan,,,
St. Vincent und die Grenadinen,,,
Saudi-Arabien,,,
Jamaika,,,
Gabun,,,
Grönland,,,
Niger,,,
Japan,,,
Österreich,22,53,25
Lettland,,,
Algerien,,,
Kolumbien,,,
Kuwait,,,
Réunion,,,
Bosnien und Herzegowina,,,
Guadeloupe,,,
Nicaragua,,,
Cabo Verde,,,
Myanmar,,,
Ecuador,,,
El Salvador,,,
Sint Maarten,,,
Kosovo,,,
Ägypten,,,
Tschad,,,
Nepal,,,
Liberia,,,
Macau,,,
Französisch-Polynesien,,,
Brunei Darussalam,,,
Burundi,,,
Mali,,,
Ungarn,,,
Tansania,,,
Guinea,,,
Somalia,,,
Kongo-Kinshasa,,,
Westsahara,,,
Island,,,
Guatemala,,,
Färöer,,,
Slowakei,,,
St. Barthélemy,,,
Dominikanische Republik,,,
Georgien,,,
Venezuela,,,
Grenada,,,
Timor-Leste,,,
Französisch-Guayana,,,
Sierra Leone,,,
Kambodscha,,,
St. Kitts und Nevis,,,
Guyana,,,
Honduras,,,
Samoa,,,
Bhutan,,,
Burkina Faso,,,
Nördliche Marianen,,,
Mongolei,,,
Haiti,,,
Paraguay,,,
St. Martin,,,
Indonesien,21,79,1
Belize,,,
Südkorea,,,
Laos,,,
Republik Moldau,,,
Palästina,,,
Sudan,,,
Belarus,,,
Bolivien,,,
Ukraine,,,
Iran,,,
Taiwan,,,
Vietnam,28,70,2
Libyen,,,
Thailand,,,
Irak,,,
Kasachstan,,,
Syrien,,,
Jemen,,,
Usbekistan,,,
Russland,,,
Tadschikistan,,,
Kirgisistan,,,
Turkmenistan,,,
Falklandinseln (Malwinen),,,
Montserrat,,,
Amerikanisch-Samoa,,,
Spitzbergen und Jan Mayen,,,
Marshallinseln,,,
Mikronesien,,,
Cookinseln,,,
Dominica,,,
St. Pierre und Miquelon,,,
Palau,,,
Tonga,,,
Guinea-Bissau,,,
Antarktis,,,
Französische Süd- und Antarktisgebiete,,,
Bouvetinsel,,,
Kokosinseln,,,
Komoren,,,
Weihnachtsinsel,,,
Eritrea,,,
Heard und McDonaldinseln,,,
Britisches Territorium im Indischen Ozean,,,
Kiribati,,,
Norfolkinsel,,,
Niue,,,
Nauru,,,
Pitcairninseln,,,
Nordkorea,,,
Südgeorgien und die Südlichen Sandwichinseln,,,
São Tomé und Príncipe,,,
Tokelau,,,
Tuvalu,,,
Amerikanische Überseeinseln,,,
Vatikanstadt,,,
Wallis und Futuna,,,
