monat,indeed,xing,linkedIn,stepStone,bfa
2004-01,1,2,1,10,7
2004-02,1,2,1,12,11
2004-03,1,2,0,7,14
2004-04,1,1,1,9,13
2004-05,1,2,1,7,11
2004-06,1,2,1,8,12
2004-07,1,3,1,10,15
2004-08,1,3,1,9,18
2004-09,1,4,1,10,18
2004-10,1,4,1,10,17
2004-11,1,4,1,8,16
2004-12,1,3,1,7,14
2005-01,1,6,1,9,18
2005-02,1,6,1,10,19
2005-03,1,8,1,9,18
2005-04,1,7,1,10,15
2005-05,1,9,1,10,16
2005-06,1,9,1,10,20
2005-07,1,10,1,11,19
2005-08,1,14,1,11,21
2005-09,1,13,1,10,23
2005-10,1,15,1,10,19
2005-11,1,18,1,9,17
2005-12,1,17,1,7,12
2006-01,1,20,1,10,20
2006-02,1,24,1,10,21
2006-03,1,28,1,12,19
2006-04,1,26,1,9,16
2006-05,1,32,1,10,17
2006-06,1,32,1,10,16
2006-07,1,37,1,12,19
2006-08,1,43,1,13,19
2006-09,1,42,1,12,19
2006-10,1,41,1,10,17
2006-11,1,44,1,10,15
2006-12,1,45,2,7,12
2007-01,1,47,1,13,19
2007-02,1,45,1,12,16
2007-03,1,49,1,12,15
2007-04,1,47,1,11,13
2007-05,1,46,2,11,15
2007-06,1,50,2,12,14
2007-07,1,57,1,11,15
2007-08,1,59,3,11,15
2007-09,1,56,2,11,15
2007-10,1,59,2,12,13
2007-11,1,58,2,11,14
2007-12,1,55,2,8,10
2008-01,1,66,3,11,13
2008-02,1,72,3,12,13
2008-03,1,71,2,11,12
2008-04,1,83,3,11,12
2008-05,1,75,3,11,11
2008-06,1,73,3,10,11
2008-07,1,83,3,11,12
2008-08,1,76,3,11,12
2008-09,1,85,4,12,12
2008-10,1,90,5,13,10
2008-11,1,89,3,10,10
2008-12,1,82,4,9,9
2009-01,1,89,4,12,12
2009-02,1,96,5,13,13
2009-03,1,94,5,13,13
2009-04,1,91,5,13,12
2009-05,1,90,4,13,11
2009-06,1,91,5,13,12
2009-07,1,100,5,13,13
2009-08,1,94,5,13,13
2009-09,1,93,6,15,13
2009-10,1,94,7,13,13
2009-11,1,91,7,13,13
2009-12,1,78,6,11,10
2010-01,1,84,7,15,13
2010-02,1,87,8,15,12
2010-03,1,86,8,16,11
2010-04,1,80,8,15,11
2010-05,2,72,9,14,10
2010-06,2,72,9,15,10
2010-07,2,77,9,14,11
2010-08,2,77,10,16,11
2010-09,3,82,12,16,11
2010-10,3,81,12,17,10
2010-11,3,77,13,17,10
2010-12,3,69,12,14,8
2011-01,4,82,11,21,13
2011-02,5,87,11,23,13
2011-03,6,83,10,22,13
2011-04,6,81,10,21,12
2011-05,6,87,14,23,11
2011-06,6,88,13,22,11
2011-07,8,93,14,23,12
2011-08,8,91,14,23,12
