monat,indeed,xing,linkedIn,stepStone,bfa
2004-01,1,1,1,2,1
2004-02,1,1,1,2,1
2004-03,1,1,1,2,1
2004-04,1,1,1,2,1
2004-05,1,1,2,1,1
2004-06,1,2,1,2,1
2004-07,1,2,1,1,1
2004-08,1,1,1,2,1
2004-09,1,1,1,2,1
2004-10,1,1,1,2,1
2004-11,1,1,1,2,1
2004-12,1,1,1,1,1
2005-01,1,1,1,2,2
2005-02,1,1,1,2,1
2005-03,1,2,1,1,1
2005-04,1,1,1,2,1
2005-05,1,2,1,2,1
2005-06,1,2,2,1,2
2005-07,1,2,2,2,1
2005-08,1,2,2,2,2
2005-09,1,2,1,2,1
2005-10,1,2,2,2,1
2005-11,1,2,1,2,1
2005-12,1,2,1,1,1
2006-01,1,2,2,2,2
2006-02,1,3,2,2,2
2006-03,1,3,2,2,1
2006-04,1,3,2,1,1
2006-05,1,3,2,2,1
2006-06,1,3,2,1,1
2006-07,1,4,2,1,1
2006-08,1,4,2,1,2
2006-09,2,4,3,2,1
2006-10,2,4,3,2,1
2006-11,2,5,3,1,1
2006-12,2,5,3,1,1
2007-01,2,5,4,2,1
2007-02,2,5,4,2,1
2007-03,2,5,4,2,1
2007-04,2,4,4,1,1
2007-05,2,5,5,1,1
2007-06,2,5,6,1,1
2007-07,3,6,7,1,1
2007-08,3,6,8,1,1
2007-09,3,5,8,1,1
2007-10,3,5,9,2,1
2007-11,3,6,9,1,1
2007-12,3,5,9,1,1
2008-01,4,6,10,1,1
2008-02,4,7,11,1,1
2008-03,4,6,11,1,1
2008-04,5,7,12,1,1
2008-05,5,6,12,1,1
2008-06,6,7,13,1,1
2008-07,6,8,14,1,1
2008-08,6,7,14,1,1
2008-09,6,8,16,1,1
2008-10,6,9,16,1,1
2008-11,6,8,15,1,1
2008-12,7,8,15,1,1
2009-01,8,8,18,2,1
2009-02,8,9,20,1,1
2009-03,9,9,21,1,1
2009-04,8,8,21,1,1
2009-05,8,8,20,1,1
2009-06,9,9,21,1,1
2009-07,9,9,21,1,1
2009-08,10,9,22,1,1
2009-09,10,8,24,2,1
2009-10,10,8,25,1,1
2009-11,9,8,25,1,1
2009-12,9,7,23,1,1
2010-01,10,8,28,1,1
2010-02,11,8,30,2,1
2010-03,11,8,31,2,1
2010-04,11,7,31,1,1
2010-05,11,7,32,1,1
2010-06,13,7,34,1,1
2010-07,14,6,34,1,1
2010-08,14,7,37,2,1
2010-09,15,7,39,2,1
2010-10,15,7,40,1,1
2010-11,16,7,43,1,1
2010-12,15,6,38,1,1
2011-01,19,6,48,2,1
2011-02,19,6,52,2,1
2011-03,19,6,53,2,1
2011-04,21,5,53,1,1
2011-05,21,6,58,2,1
2011-06,22,6,62,1,1
2011-07,25,6,61,2,1
2011-08,24,6,64,2,1
2011-09,23,6,69,2,1
2011-10,24,5,68,2,1
2011-11,23,6,69,2,1
2011-12,22,5,62,2,1
2012-01,27,5,72,2,1
2012-02,27,5,76,2,1
2012-03,27,5,74,2,1
2012-04,27,5,70,2,1
2012-05,28,4,71,2,1
2012-06,29,5,80,2,1
2012-07,31,5,70,2,1
2012-08,33,4,70,2,1
2012-09,32,4,73,2,1
2012-10,35,5,82,2,1
2012-11,34,5,80,2,1
2012-12,30,4,69,1,1
2013-01,40,5,87,2,1
2013-02,39,5,90,2,1
2013-03,39,4,91,2,1
2013-04,41,4,94,2,1
2013-05,41,4,91,2,1
2013-06,41,4,91,2,1
2013-07,44,4,95,2,1
2013-08,43,4,91,2,1
2013-09,43,4,93,2,1
2013-10,41,4,92,2,1
2013-11,38,4,85,2,1
2013-12,33,3,73,1,1
2014-01,44,4,90,2,1
2014-02,42,4,92,2,1
2014-03,42,4,88,2,1
2014-04,43,4,87,2,1
2014-05,41,3,85,2,1
2014-06,41,3,89,2,1
2014-07,43,4,93,2,1
2014-08,42,3,88,2,1
2014-09,44,4,96,2,1
2014-10,44,4,100,2,1
2014-11,39,3,89,2,1
2014-12,35,3,82,1,1
2015-01,45,4,92,2,1
2015-02,46,4,97,2,1
2015-03,47,4,98,2,1
2015-04,44,3,96,1,1
2015-05,44,3,91,1,1
2015-06,47,3,98,1,1
2015-07,46,3,98,1,1
2015-08,46,3,93,1,1
2015-09,46,3,96,1,1
2015-10,46,3,99,1,1
2015-11,45,3,91,1,1
2015-12,39,3,82,1,1
2016-01,45,3,82,1,1
2016-02,46,3,90,1,1
2016-03,44,3,88,1,1
2016-04,44,3,85,1,1
2016-05,44,2,86,1,1
2016-06,46,3,88,1,1
2016-07,46,3,76,1,1
2016-08,47,3,78,1,1
2016-09,48,3,83,1,1
2016-10,46,2,80,1,1
2016-11,43,3,77,1,1
2016-12,38,2,66,1,1
2017-01,54,3,80,1,1
2017-02,51,3,82,1,1
2017-03,55,3,80,1,1
2017-04,52,2,71,1,1
2017-05,55,3,74,1,1
